#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	SubG1_G_V_DBT_S267_L001	SubG1_G_V_PF_1_S264_L001	SubG1_S_V_DBT_S261_L001	SubG1_S_V_PF_1_S258_L001	SubG2_G_V_DBT_S268_L001	SubG2_G_V_PF_1_S265_L001	SubG2_S_V_DBT_S262_L001	SubG2_S_V_PF_1_S259_L001	SubG3_G_V_DBT_S269_L001	SubG3_G_V_PF_1_S266_L001	SubG3_S_V_DBT_S263_L001	SubG3_S_V_PF_1_S260_L001
k__Bacteria|p__Candidatus_Absconditibacteriota|c__CFGB1860|o__OFGB1860	91817.0	113491.0	52182.0	48382.0	144389.0	195000.0	89868.0	74114.0	28175.0	28456.0	6607.0	7049.0
k__Bacteria|p__Bacteroidota|c__CFGB494|o__OFGB494	139578.0	177228.0	0.0	165.0	0.0	0.0	0.0	0.0	3955.0	4781.0	7456.0	6136.0
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales	114076.0	169359.0	4007.0	4572.0	69.0	655.0	387.0	41.0	17915.0	20140.0	28418.0	23260.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	64526.0	80858.0	15405.0	11826.0	3800.0	4713.0	32551.0	25007.0	16315.0	15903.0	67417.0	62372.0
k__Bacteria|p__Firmicutes|c__CFGB1762|o__OFGB1762	78073.0	96789.0	1855.0	1430.0	17450.0	24957.0	702.0	211.0	43565.0	44329.0	27218.0	25032.0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	70107.0	86146.0	15166.0	10631.0	2196.0	2592.0	10373.0	4657.0	25834.0	23340.0	10256.0	7295.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	117172.0	186889.0	12580.0	12954.0	2558238.0	3846026.0	207913.0	186080.0	1086084.0	1344863.0	64434.0	56586.0
k__Bacteria|p__Bacteroidota|c__Bacteroidota_unclassified|o__Bacteroidota_unclassified	75644.0	96559.0	0.0	367.0	38920.0	52561.0	3278.0	1731.0	34474.0	38629.0	7470.0	7763.0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanosyncoccales	31949.0	41604.0	0.0	71.0	1775.0	2432.0	176.0	47.0	12661.0	12249.0	6108.0	5892.0
k__Bacteria|p__Bacteroidota|c__CFGB570|o__OFGB570	86377.0	118083.0	11397.0	10101.0	0.0	0.0	7231.0	4812.0	20337.0	22181.0	15021.0	13090.0
k__Bacteria|p__Spirochaetota|c__CFGB1021|o__OFGB1021	79325.0	111326.0	1509.0	1856.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Gracilibacteria|c__Candidatus_Gracilibacteria_unclassified|o__Candidatus_Gracilibacteria_unclassified	29583.0	40332.0	0.0	707.0	35066.0	52326.0	2833.0	0.0	69035.0	70046.0	761.0	2874.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales	44313.0	58904.0	26590.0	13988.0	41611.0	48474.0	4694.0	1506.0	5581.0	6112.0	5228.0	2062.0
k__Bacteria|p__Firmicutes|c__CFGB1781|o__OFGB1781	11350.0	11832.0	15729.0	16044.0	2894.0	4124.0	7516.0	6433.0	1050.0	583.0	250.0	0.0
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB12783|o__OFGB12783	11515.0	14195.0	0.0	23.0	0.0	0.0	0.0	0.0	104.0	178.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	15661.0	22024.0	5729.0	7786.0	138.0	501.0	0.0	0.0	3445.0	3240.0	11840.0	8739.0
k__Bacteria|p__Bacteroidota|c__CFGB496|o__OFGB496	15653.0	17807.0	0.0	0.0	0.0	0.0	0.0	0.0	157.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1394|o__OFGB1394	8044.0	11874.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__CFGB73473|o__OFGB73473	9618.0	11572.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	5588.0	7767.0	0.0	0.0	0.0	0.0	0.0	0.0	1475.0	1938.0	10230.0	8465.0
k__Bacteria|p__Synergistota|c__Synergistia|o__Synergistales	6178.0	13335.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1261|o__OFGB1261	3189.0	5836.0	0.0	0.0	0.0	0.0	0.0	0.0	1113.0	1722.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB89717|o__OFGB89717	822.0	1969.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonadia|o__Candidatus_Nanosynbacterales	360.0	3880.0	0.0	0.0	38344.0	64451.0	2093.0	487.0	0.0	0.0	1781.0	0.0
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB47462|o__OFGB47462	322.0	786.0	10179.0	9768.0	0.0	0.0	0.0	0.0	0.0	0.0	346.0	393.0
k__Bacteria|p__Firmicutes|c__CFGB14224|o__OFGB14224	446.0	660.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	3153106.0	4156126.0	1257696.0	1223886.0	1868011.0	2357698.0	1262771.0	1044560.0	806329.0	817074.0	2288922.0	1902985.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	1241066.0	1713970.0	1283504.0	1375906.0	4565876.0	5912601.0	6388220.0	5245885.0	1522196.0	1635973.0	1348691.0	1195927.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae	1091367.0	1722202.0	24173.0	33097.0	1936506.0	2945737.0	3414.0	3507.0	1390333.0	1781081.0	6257.0	6934.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae	1127611.0	1890164.0	20764.0	28723.0	2385754.0	3883096.0	18591.0	17276.0	1216608.0	1628764.0	127377.0	114067.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	759970.0	983254.0	473919.0	489733.0	1131314.0	1441652.0	1523177.0	1330393.0	714311.0	729824.0	373710.0	315998.0
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	874854.0	1235967.0	60273.0	80022.0	3100619.0	4207734.0	893006.0	743597.0	931568.0	1049189.0	103136.0	85867.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	619126.0	891868.0	47483.0	53908.0	899323.0	1375949.0	127656.0	95598.0	427563.0	439231.0	150151.0	143728.0
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	657461.0	844334.0	274754.0	282492.0	519774.0	640219.0	335303.0	330940.0	368518.0	360448.0	217022.0	170254.0
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	612337.0	884626.0	63785.0	78044.0	920832.0	1198126.0	101898.0	89373.0	446214.0	440646.0	93177.0	75951.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae	560248.0	899972.0	162269.0	166734.0	782677.0	1204106.0	400326.0	228324.0	299284.0	369177.0	83728.0	53303.0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified	263665.0	344385.0	22827.0	14263.0	376586.0	490940.0	7789.0	6081.0	188395.0	197983.0	30194.0	33452.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	380627.0	525652.0	247278.0	291038.0	1163933.0	1416190.0	1387942.0	1193285.0	290862.0	294290.0	339060.0	295282.0
k__Bacteria|p__Spirochaetota|c__Spirochaetia|o__Spirochaetales|f__Treponemataceae	481786.0	697103.0	19434.0	21901.0	18554.0	18710.0	10799.0	8996.0	96930.0	110091.0	39106.0	33784.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	265215.0	376541.0	0.0	0.0	97478.0	120503.0	3774.0	4342.0	104044.0	109088.0	29056.0	24948.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae	411999.0	649970.0	188.0	332.0	1412018.0	2224423.0	14512.0	10985.0	638229.0	797709.0	2237.0	1710.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	302350.0	447810.0	18091.0	20548.0	314800.0	455721.0	7370.0	4199.0	451377.0	505948.0	15479.0	11529.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	201765.0	262153.0	94706.0	120669.0	674341.0	820556.0	184766.0	169815.0	274608.0	253262.0	464788.0	384923.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	285158.0	409566.0	26612.0	21236.0	425958.0	583525.0	17505.0	13837.0	121921.0	151267.0	32148.0	17830.0
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB4355|o__OFGB4355|f__FGB4355	113863.0	157490.0	3373.0	3510.0	320019.0	453498.0	1901.0	2137.0	29853.0	37347.0	1944.0	601.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae	228377.0	340610.0	2274.0	2960.0	434340.0	602091.0	7283.0	6227.0	261199.0	318756.0	1898.0	986.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Gemellaceae	139600.0	195389.0	70892.0	77415.0	94385.0	146150.0	111373.0	107712.0	89111.0	106513.0	50755.0	51259.0
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	161919.0	221988.0	27010.0	31003.0	230632.0	328183.0	83052.0	62305.0	111153.0	125594.0	45993.0	39043.0
k__Bacteria|p__Spirochaetota|c__CFGB1017|o__OFGB1017|f__FGB1017	169195.0	231593.0	24239.0	23822.0	0.0	0.0	0.0	0.0	23707.0	31369.0	24701.0	20673.0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanogingivales|f__Candidatus_Nanogingivalaceae	61333.0	85072.0	12251.0	12591.0	78981.0	103959.0	10751.0	8961.0	29143.0	27094.0	16573.0	13532.0
k__Bacteria|p__Candidatus_Absconditibacteriota|c__CFGB1860|o__OFGB1860|f__FGB1860	91817.0	113491.0	52182.0	48382.0	144389.0	195000.0	89868.0	74114.0	28175.0	28456.0	6607.0	7049.0
k__Bacteria|p__Bacteroidota|c__CFGB494|o__OFGB494|f__FGB494	139578.0	177228.0	0.0	165.0	0.0	0.0	0.0	0.0	3955.0	4781.0	7456.0	6136.0
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	114076.0	169359.0	4007.0	4572.0	69.0	655.0	387.0	41.0	17915.0	20140.0	28418.0	23260.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	64526.0	80858.0	15405.0	11826.0	3800.0	4713.0	32551.0	25007.0	16315.0	15903.0	67417.0	62372.0
k__Bacteria|p__Firmicutes|c__CFGB1762|o__OFGB1762|f__FGB1762	78073.0	96789.0	1855.0	1430.0	17450.0	24957.0	702.0	211.0	43565.0	44329.0	27218.0	25032.0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	70107.0	86146.0	15166.0	10631.0	2196.0	2592.0	10373.0	4657.0	25834.0	23340.0	10256.0	7295.0
k__Bacteria|p__Bacteroidota|c__Bacteroidota_unclassified|o__Bacteroidota_unclassified|f__Bacteroidota_unclassified	75644.0	96559.0	0.0	367.0	38920.0	52561.0	3278.0	1731.0	34474.0	38629.0	7470.0	7763.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	107059.0	172895.0	12580.0	12954.0	2196088.0	3365211.0	116377.0	103516.0	953894.0	1205418.0	51776.0	45456.0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanosyncoccales|f__Candidatus_Nanosyncoccaceae	31949.0	41604.0	0.0	71.0	1775.0	2432.0	176.0	47.0	12661.0	12249.0	6108.0	5892.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	61483.0	90926.0	1623.0	2177.0	121297.0	215830.0	10707.0	18027.0	26951.0	24718.0	14087.0	15224.0
k__Bacteria|p__Bacteroidota|c__CFGB570|o__OFGB570|f__FGB570	86377.0	118083.0	11397.0	10101.0	0.0	0.0	7231.0	4812.0	20337.0	22181.0	15021.0	13090.0
k__Bacteria|p__Spirochaetota|c__CFGB1021|o__OFGB1021|f__FGB1021	79325.0	111326.0	1509.0	1856.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	46331.0	64263.0	20425.0	14827.0	250488.0	324077.0	124218.0	114002.0	40934.0	44342.0	20618.0	45519.0
